timestamp,src_ip,dst_ip,proto,src_port,dst_port,packet_len,label
1745266767.276101,192.168.100.5,192.168.100.4,TCP,60255,587,60,fin_scan
1745266767.276101,192.168.100.5,192.168.100.4,TCP,60255,143,60,fin_scan
1745266767.276154,192.168.100.4,192.168.100.5,TCP,587,60255,54,fin_scan
1745266767.276293,192.168.100.4,192.168.100.5,TCP,143,60255,54,fin_scan
1745266767.278057,192.168.100.5,192.168.100.4,TCP,60255,443,60,fin_scan
1745266767.278079,192.168.100.4,192.168.100.5,TCP,443,60255,54,fin_scan
1745266767.280093,192.168.100.5,192.168.100.4,TCP,60255,1720,60,fin_scan
1745266767.280116,192.168.100.4,192.168.100.5,TCP,1720,60255,54,fin_scan
1745266767.282064,192.168.100.5,192.168.100.4,TCP,60255,554,60,fin_scan
1745266767.282064,192.168.100.5,192.168.100.4,TCP,60255,8888,60,fin_scan
1745266767.282088,192.168.100.4,192.168.100.5,TCP,554,60255,54,fin_scan
1745266767.282274,192.168.100.4,192.168.100.5,TCP,8888,60255,54,fin_scan
1745266767.284112,192.168.100.5,192.168.100.4,TCP,60255,3389,60,fin_scan
1745266767.284135,192.168.100.4,192.168.100.5,TCP,3389,60255,54,fin_scan
1745266767.285913,192.168.100.5,192.168.100.4,TCP,60255,25,60,fin_scan
1745266767.285913,192.168.100.5,192.168.100.4,TCP,60255,199,60,fin_scan
1745266767.285933,192.168.100.4,192.168.100.5,TCP,25,60255,54,fin_scan
1745266767.286048,192.168.100.4,192.168.100.5,TCP,199,60255,54,fin_scan
1745266767.287628,192.168.100.5,192.168.100.4,TCP,60255,993,60,fin_scan
1745266767.287648,192.168.100.4,192.168.100.5,TCP,993,60255,54,fin_scan
1745266767.289232,192.168.100.5,192.168.100.4,TCP,60255,256,60,fin_scan
1745266767.289255,192.168.100.4,192.168.100.5,TCP,256,60255,54,fin_scan
1745266767.291539,192.168.100.5,192.168.100.4,TCP,60255,1025,60,fin_scan
1745266767.291540,192.168.100.5,192.168.100.4,TCP,60255,8080,60,fin_scan
1745266767.291568,192.168.100.4,192.168.100.5,TCP,1025,60255,54,fin_scan
1745266767.291704,192.168.100.4,192.168.100.5,TCP,8080,60255,54,fin_scan
1745266767.293590,192.168.100.5,192.168.100.4,TCP,60255,139,60,fin_scan
1745266767.293590,192.168.100.5,192.168.100.4,TCP,60255,113,60,fin_scan
1745266767.293616,192.168.100.4,192.168.100.5,TCP,139,60255,54,fin_scan
1745266767.293752,192.168.100.4,192.168.100.5,TCP,113,60255,54,fin_scan
1745266767.295747,192.168.100.5,192.168.100.4,TCP,60255,23,60,fin_scan
1745266767.295769,192.168.100.4,192.168.100.5,TCP,23,60255,54,fin_scan
1745266767.297299,192.168.100.5,192.168.100.4,TCP,60255,22,60,fin_scan
1745266767.297300,192.168.100.5,192.168.100.4,TCP,60255,445,60,fin_scan
1745266767.297323,192.168.100.4,192.168.100.5,TCP,22,60255,54,fin_scan
1745266767.297460,192.168.100.4,192.168.100.5,TCP,445,60255,54,fin_scan
1745266767.299610,192.168.100.5,192.168.100.4,TCP,60255,5900,60,fin_scan
1745266767.299611,192.168.100.5,192.168.100.4,TCP,60255,53,60,fin_scan
1745266767.299633,192.168.100.4,192.168.100.5,TCP,5900,60255,54,fin_scan
1745266767.299801,192.168.100.4,192.168.100.5,TCP,53,60255,54,fin_scan
1745266767.301425,192.168.100.5,192.168.100.4,TCP,60255,111,60,fin_scan
1745266767.301425,192.168.100.5,192.168.100.4,TCP,60255,21,60,fin_scan
1745266767.301445,192.168.100.4,192.168.100.5,TCP,111,60255,54,fin_scan
1745266767.301577,192.168.100.4,192.168.100.5,TCP,21,60255,54,fin_scan
1745266767.303282,192.168.100.5,192.168.100.4,TCP,60255,995,60,fin_scan
1745266767.303283,192.168.100.5,192.168.100.4,TCP,60255,1723,60,fin_scan
1745266767.303306,192.168.100.4,192.168.100.5,TCP,995,60255,54,fin_scan
1745266767.303467,192.168.100.4,192.168.100.5,TCP,1723,60255,54,fin_scan
1745266767.305158,192.168.100.5,192.168.100.4,TCP,60255,110,60,fin_scan
1745266767.305159,192.168.100.5,192.168.100.4,TCP,60255,80,60,fin_scan
1745266767.305178,192.168.100.4,192.168.100.5,TCP,110,60255,54,fin_scan
1745266767.305294,192.168.100.4,192.168.100.5,TCP,80,60255,54,fin_scan
1745266767.307518,192.168.100.5,192.168.100.4,TCP,60255,3306,60,fin_scan
1745266767.307518,192.168.100.5,192.168.100.4,TCP,60255,135,60,fin_scan
1745266767.307537,192.168.100.4,192.168.100.5,TCP,3306,60255,54,fin_scan
1745266767.307683,192.168.100.4,192.168.100.5,TCP,135,60255,54,fin_scan
1745266767.309009,192.168.100.5,192.168.100.4,TCP,60255,1002,60,fin_scan
1745266767.309032,192.168.100.4,192.168.100.5,TCP,1002,60255,54,fin_scan
1745266767.313362,192.168.100.5,192.168.100.4,TCP,60255,4443,60,fin_scan
1745266767.313363,192.168.100.5,192.168.100.4,TCP,60255,2875,60,fin_scan
1745266767.313386,192.168.100.4,192.168.100.5,TCP,4443,60255,54,fin_scan
1745266767.313522,192.168.100.4,192.168.100.5,TCP,2875,60255,54,fin_scan
1745266767.315548,192.168.100.5,192.168.100.4,TCP,60255,32769,60,fin_scan
1745266767.315570,192.168.100.4,192.168.100.5,TCP,32769,60255,54,fin_scan
1745266767.316285,192.168.100.5,192.168.100.4,TCP,60255,1700,60,fin_scan
1745266767.316303,192.168.100.4,192.168.100.5,TCP,1700,60255,54,fin_scan
1745266767.318641,192.168.100.5,192.168.100.4,TCP,60255,35500,60,fin_scan
1745266767.318664,192.168.100.4,192.168.100.5,TCP,35500,60255,54,fin_scan
1745266767.319528,192.168.100.5,192.168.100.4,TCP,60255,17988,60,fin_scan
