timestamp,src_ip,dst_ip,proto,src_port,dst_port,packet_len,label
1745265917.787476,192.168.100.5,192.168.184.168,UDP,38105,53,86,nmap_tcp_connect
1745265917.851518,192.168.184.168,192.168.100.5,UDP,53,38105,163,nmap_tcp_connect
1745265917.852742,192.168.100.5,192.168.100.4,TCP,38082,554,74,nmap_tcp_connect
1745265917.852742,192.168.100.5,192.168.100.4,TCP,46668,8080,74,nmap_tcp_connect
1745265917.852792,192.168.100.4,192.168.100.5,TCP,554,38082,54,nmap_tcp_connect
1745265917.852944,192.168.100.4,192.168.100.5,TCP,8080,46668,54,nmap_tcp_connect
1745265917.853909,192.168.100.5,192.168.100.4,TCP,46638,53,74,nmap_tcp_connect
1745265917.853909,192.168.100.5,192.168.100.4,TCP,51218,110,74,nmap_tcp_connect
1745265917.853910,192.168.100.5,192.168.100.4,TCP,37422,1720,74,nmap_tcp_connect
1745265917.853910,192.168.100.5,192.168.100.4,TCP,38272,25,74,nmap_tcp_connect
1745265917.853936,192.168.100.4,192.168.100.5,TCP,53,46638,54,nmap_tcp_connect
1745265917.854089,192.168.100.4,192.168.100.5,TCP,110,51218,54,nmap_tcp_connect
1745265917.854248,192.168.100.4,192.168.100.5,TCP,1720,37422,54,nmap_tcp_connect
1745265917.854387,192.168.100.4,192.168.100.5,TCP,25,38272,54,nmap_tcp_connect
1745265917.855437,192.168.100.5,192.168.100.4,TCP,33820,3306,74,nmap_tcp_connect
1745265917.855437,192.168.100.5,192.168.100.4,TCP,60762,113,74,nmap_tcp_connect
1745265917.855437,192.168.100.5,192.168.100.4,TCP,56806,22,74,nmap_tcp_connect
1745265917.855438,192.168.100.5,192.168.100.4,TCP,36402,1025,74,nmap_tcp_connect
1745265917.855438,192.168.100.5,192.168.100.4,TCP,51778,143,74,nmap_tcp_connect
1745265917.855438,192.168.100.5,192.168.100.4,TCP,57680,993,74,nmap_tcp_connect
1745265917.855438,192.168.100.5,192.168.100.4,TCP,40244,587,74,nmap_tcp_connect
1745265917.855438,192.168.100.5,192.168.100.4,TCP,52784,23,74,nmap_tcp_connect
1745265917.855584,192.168.100.4,192.168.100.5,TCP,3306,33820,54,nmap_tcp_connect
1745265917.855770,192.168.100.4,192.168.100.5,TCP,113,60762,54,nmap_tcp_connect
1745265917.855943,192.168.100.4,192.168.100.5,TCP,22,56806,54,nmap_tcp_connect
1745265917.856120,192.168.100.4,192.168.100.5,TCP,1025,36402,54,nmap_tcp_connect
1745265917.856292,192.168.100.4,192.168.100.5,TCP,143,51778,54,nmap_tcp_connect
1745265917.856444,192.168.100.4,192.168.100.5,TCP,993,57680,54,nmap_tcp_connect
1745265917.856616,192.168.100.4,192.168.100.5,TCP,587,40244,54,nmap_tcp_connect
1745265917.856774,192.168.100.4,192.168.100.5,TCP,23,52784,54,nmap_tcp_connect
1745265917.856984,192.168.100.5,192.168.100.4,TCP,40342,445,74,nmap_tcp_connect
1745265917.856985,192.168.100.5,192.168.100.4,TCP,35676,1723,74,nmap_tcp_connect
1745265917.856985,192.168.100.5,192.168.100.4,TCP,35984,135,74,nmap_tcp_connect
1745265917.856985,192.168.100.5,192.168.100.4,TCP,37622,139,74,nmap_tcp_connect
1745265917.856985,192.168.100.5,192.168.100.4,TCP,34456,111,74,nmap_tcp_connect
1745265917.857013,192.168.100.4,192.168.100.5,TCP,445,40342,54,nmap_tcp_connect
1745265917.857163,192.168.100.4,192.168.100.5,TCP,1723,35676,54,nmap_tcp_connect
1745265917.857354,192.168.100.4,192.168.100.5,TCP,135,35984,54,nmap_tcp_connect
1745265917.857578,192.168.100.4,192.168.100.5,TCP,139,37622,54,nmap_tcp_connect
1745265917.858150,192.168.100.4,192.168.100.5,TCP,111,34456,54,nmap_tcp_connect
1745265917.859439,192.168.100.5,192.168.100.4,TCP,34130,80,74,nmap_tcp_connect
1745265917.859439,192.168.100.5,192.168.100.4,TCP,37042,5900,74,nmap_tcp_connect
1745265917.859440,192.168.100.5,192.168.100.4,TCP,52166,199,74,nmap_tcp_connect
1745265917.859440,192.168.100.5,192.168.100.4,TCP,36200,8888,74,nmap_tcp_connect
1745265917.859440,192.168.100.5,192.168.100.4,TCP,55226,3389,74,nmap_tcp_connect
1745265917.859440,192.168.100.5,192.168.100.4,TCP,42920,443,74,nmap_tcp_connect
1745265917.859440,192.168.100.5,192.168.100.4,TCP,40678,21,74,nmap_tcp_connect
1745265917.859440,192.168.100.5,192.168.100.4,TCP,34232,256,74,nmap_tcp_connect
1745265917.859470,192.168.100.4,192.168.100.5,TCP,80,34130,54,nmap_tcp_connect
1745265917.859611,192.168.100.4,192.168.100.5,TCP,5900,37042,54,nmap_tcp_connect
1745265917.859750,192.168.100.4,192.168.100.5,TCP,199,52166,54,nmap_tcp_connect
1745265917.859885,192.168.100.4,192.168.100.5,TCP,8888,36200,54,nmap_tcp_connect
1745265917.860025,192.168.100.4,192.168.100.5,TCP,3389,55226,54,nmap_tcp_connect
1745265917.860162,192.168.100.4,192.168.100.5,TCP,443,42920,54,nmap_tcp_connect
1745265917.860317,192.168.100.4,192.168.100.5,TCP,21,40678,54,nmap_tcp_connect
1745265917.860454,192.168.100.4,192.168.100.5,TCP,256,34232,54,nmap_tcp_connect
1745265917.860669,192.168.100.5,192.168.100.4,TCP,58124,995,74,nmap_tcp_connect
1745265917.860669,192.168.100.5,192.168.100.4,TCP,47946,1417,74,nmap_tcp_connect
1745265917.860669,192.168.100.5,192.168.100.4,TCP,52562,28201,74,nmap_tcp_connect
1745265917.860669,192.168.100.5,192.168.100.4,TCP,34252,2811,74,nmap_tcp_connect
