timestamp,src_ip,dst_ip,proto,src_port,dst_port,packet_len,label
1745266844.992403,192.168.100.5,192.168.100.4,TCP,41030,1723,60,os_detection
1745266844.992404,192.168.100.5,192.168.100.4,TCP,41030,554,60,os_detection
1745266844.992404,192.168.100.5,192.168.100.4,TCP,41030,8888,60,os_detection
1745266844.992404,192.168.100.5,192.168.100.4,TCP,41030,143,60,os_detection
1745266844.992405,192.168.100.5,192.168.100.4,TCP,41030,445,60,os_detection
1745266844.992456,192.168.100.4,192.168.100.5,TCP,1723,41030,54,os_detection
1745266844.994983,192.168.100.4,192.168.100.5,TCP,554,41030,54,os_detection
1745266844.995694,192.168.100.4,192.168.100.5,TCP,8888,41030,54,os_detection
1745266844.996229,192.168.100.4,192.168.100.5,TCP,143,41030,54,os_detection
1745266844.996809,192.168.100.4,192.168.100.5,TCP,445,41030,54,os_detection
1745266844.999424,192.168.100.5,192.168.100.4,TCP,41030,110,60,os_detection
1745266844.999424,192.168.100.5,192.168.100.4,TCP,41030,135,60,os_detection
1745266844.999425,192.168.100.5,192.168.100.4,TCP,41030,113,60,os_detection
1745266844.999425,192.168.100.5,192.168.100.4,TCP,41030,22,60,os_detection
1745266844.999425,192.168.100.5,192.168.100.4,TCP,41030,587,60,os_detection
1745266844.999460,192.168.100.4,192.168.100.5,TCP,110,41030,54,os_detection
1745266844.999634,192.168.100.4,192.168.100.5,TCP,135,41030,54,os_detection
1745266844.999787,192.168.100.4,192.168.100.5,TCP,113,41030,54,os_detection
1745266844.999931,192.168.100.4,192.168.100.5,TCP,22,41030,54,os_detection
1745266845.000096,192.168.100.4,192.168.100.5,TCP,587,41030,54,os_detection
1745266845.002635,192.168.100.5,192.168.100.4,TCP,41030,111,60,os_detection
1745266845.002636,192.168.100.5,192.168.100.4,TCP,41030,993,60,os_detection
1745266845.002636,192.168.100.5,192.168.100.4,TCP,41030,199,60,os_detection
1745266845.002636,192.168.100.5,192.168.100.4,TCP,41030,25,60,os_detection
1745266845.002636,192.168.100.5,192.168.100.4,TCP,41030,5900,60,os_detection
1745266845.002666,192.168.100.4,192.168.100.5,TCP,111,41030,54,os_detection
1745266845.002914,192.168.100.4,192.168.100.5,TCP,993,41030,54,os_detection
1745266845.003033,192.168.100.4,192.168.100.5,TCP,199,41030,54,os_detection
1745266845.003147,192.168.100.4,192.168.100.5,TCP,25,41030,54,os_detection
1745266845.003305,192.168.100.4,192.168.100.5,TCP,5900,41030,54,os_detection
1745266845.004044,192.168.100.5,192.168.100.4,TCP,41030,8080,60,os_detection
1745266845.004044,192.168.100.5,192.168.100.4,TCP,41030,1025,60,os_detection
1745266845.004044,192.168.100.5,192.168.100.4,TCP,41030,3389,60,os_detection
1745266845.004044,192.168.100.5,192.168.100.4,TCP,41030,3306,60,os_detection
1745266845.004045,192.168.100.5,192.168.100.4,TCP,41030,256,60,os_detection
1745266845.004045,192.168.100.5,192.168.100.4,TCP,41030,53,60,os_detection
1745266845.004045,192.168.100.5,192.168.100.4,TCP,41030,995,60,os_detection
1745266845.004045,192.168.100.5,192.168.100.4,TCP,41030,1720,60,os_detection
1745266845.004078,192.168.100.4,192.168.100.5,TCP,8080,41030,54,os_detection
1745266845.004215,192.168.100.4,192.168.100.5,TCP,1025,41030,54,os_detection
1745266845.004371,192.168.100.4,192.168.100.5,TCP,3389,41030,54,os_detection
1745266845.004507,192.168.100.4,192.168.100.5,TCP,3306,41030,54,os_detection
1745266845.004644,192.168.100.4,192.168.100.5,TCP,256,41030,54,os_detection
1745266845.004821,192.168.100.4,192.168.100.5,TCP,53,41030,54,os_detection
1745266845.004970,192.168.100.4,192.168.100.5,TCP,995,41030,54,os_detection
1745266845.005148,192.168.100.4,192.168.100.5,TCP,1720,41030,54,os_detection
1745266845.005466,192.168.100.5,192.168.100.4,TCP,41030,21,60,os_detection
1745266845.005467,192.168.100.5,192.168.100.4,TCP,41030,80,60,os_detection
1745266845.005467,192.168.100.5,192.168.100.4,TCP,41030,23,60,os_detection
1745266845.005467,192.168.100.5,192.168.100.4,TCP,41030,139,60,os_detection
1745266845.005467,192.168.100.5,192.168.100.4,TCP,41030,443,60,os_detection
1745266845.005467,192.168.100.5,192.168.100.4,TCP,41030,1117,60,os_detection
1745266845.005468,192.168.100.5,192.168.100.4,TCP,41030,52822,60,os_detection
1745266845.005501,192.168.100.4,192.168.100.5,TCP,21,41030,54,os_detection
1745266845.005654,192.168.100.4,192.168.100.5,TCP,80,41030,54,os_detection
1745266845.005787,192.168.100.4,192.168.100.5,TCP,23,41030,54,os_detection
1745266845.005924,192.168.100.4,192.168.100.5,TCP,139,41030,54,os_detection
1745266845.006060,192.168.100.4,192.168.100.5,TCP,443,41030,54,os_detection
1745266845.006191,192.168.100.4,192.168.100.5,TCP,1117,41030,54,os_detection
1745266845.006321,192.168.100.4,192.168.100.5,TCP,52822,41030,54,os_detection
1745266845.008013,192.168.100.5,192.168.100.4,TCP,41030,902,60,os_detection
1745266845.008013,192.168.100.5,192.168.100.4,TCP,41030,1213,60,os_detection
1745266845.008014,192.168.100.5,192.168.100.4,TCP,41030,631,60,os_detection
1745266845.008014,192.168.100.5,192.168.100.4,TCP,41030,8180,60,os_detection
1745266845.008014,192.168.100.5,192.168.100.4,TCP,41030,19842,60,os_detection
1745266845.008049,192.168.100.4,192.168.100.5,TCP,902,41030,54,os_detection
1745266845.008270,192.168.100.4,192.168.100.5,TCP,1213,41030,54,os_detection
1745266845.008436,192.168.100.4,192.168.100.5,TCP,631,41030,54,os_detection
1745266845.008574,192.168.100.4,192.168.100.5,TCP,8180,41030,54,os_detection
