timestamp,src_ip,dst_ip,proto,src_port,dst_port,packet_len,label
1745266909.048055,192.168.100.5,192.168.100.4,TCP,44905,554,60,service_version
1745266909.048056,192.168.100.5,192.168.100.4,TCP,44905,199,60,service_version
1745266909.048056,192.168.100.5,192.168.100.4,TCP,44905,445,60,service_version
1745266909.048057,192.168.100.5,192.168.100.4,TCP,44905,111,60,service_version
1745266909.048057,192.168.100.5,192.168.100.4,TCP,44905,256,60,service_version
1745266909.048057,192.168.100.5,192.168.100.4,TCP,44905,21,60,service_version
1745266909.048113,192.168.100.4,192.168.100.5,TCP,554,44905,54,service_version
1745266909.048271,192.168.100.4,192.168.100.5,TCP,199,44905,54,service_version
1745266909.048450,192.168.100.4,192.168.100.5,TCP,445,44905,54,service_version
1745266909.048608,192.168.100.4,192.168.100.5,TCP,111,44905,54,service_version
1745266909.048747,192.168.100.4,192.168.100.5,TCP,256,44905,54,service_version
1745266909.048886,192.168.100.4,192.168.100.5,TCP,21,44905,54,service_version
1745266909.051760,192.168.100.5,192.168.100.4,TCP,44905,143,60,service_version
1745266909.051761,192.168.100.5,192.168.100.4,TCP,44905,5900,60,service_version
1745266909.051761,192.168.100.5,192.168.100.4,TCP,44905,3306,60,service_version
1745266909.051761,192.168.100.5,192.168.100.4,TCP,44905,1720,60,service_version
1745266909.051795,192.168.100.4,192.168.100.5,TCP,143,44905,54,service_version
1745266909.051969,192.168.100.4,192.168.100.5,TCP,5900,44905,54,service_version
1745266909.052214,192.168.100.4,192.168.100.5,TCP,3306,44905,54,service_version
1745266909.052421,192.168.100.4,192.168.100.5,TCP,1720,44905,54,service_version
1745266909.055322,192.168.100.5,192.168.100.4,TCP,44905,22,60,service_version
1745266909.055322,192.168.100.5,192.168.100.4,TCP,44905,995,60,service_version
1745266909.055322,192.168.100.5,192.168.100.4,TCP,44905,3389,60,service_version
1745266909.055322,192.168.100.5,192.168.100.4,TCP,44905,139,60,service_version
1745266909.055322,192.168.100.5,192.168.100.4,TCP,44905,135,60,service_version
1745266909.055351,192.168.100.4,192.168.100.5,TCP,22,44905,54,service_version
1745266909.055509,192.168.100.4,192.168.100.5,TCP,995,44905,54,service_version
1745266909.055662,192.168.100.4,192.168.100.5,TCP,3389,44905,54,service_version
1745266909.055813,192.168.100.4,192.168.100.5,TCP,139,44905,54,service_version
1745266909.055962,192.168.100.4,192.168.100.5,TCP,135,44905,54,service_version
1745266909.061547,192.168.100.5,192.168.100.4,TCP,44905,23,60,service_version
1745266909.061548,192.168.100.5,192.168.100.4,TCP,44905,993,60,service_version
1745266909.061548,192.168.100.5,192.168.100.4,TCP,44905,8888,60,service_version
1745266909.061548,192.168.100.5,192.168.100.4,TCP,44905,1025,60,service_version
1745266909.061548,192.168.100.5,192.168.100.4,TCP,44905,1723,60,service_version
1745266909.061549,192.168.100.5,192.168.100.4,TCP,44905,53,60,service_version
1745266909.061549,192.168.100.5,192.168.100.4,TCP,44905,110,60,service_version
1745266909.061549,192.168.100.5,192.168.100.4,TCP,44905,25,60,service_version
1745266909.061583,192.168.100.4,192.168.100.5,TCP,23,44905,54,service_version
1745266909.063288,192.168.100.4,192.168.100.5,TCP,993,44905,54,service_version
1745266909.063558,192.168.100.4,192.168.100.5,TCP,8888,44905,54,service_version
1745266909.063695,192.168.100.4,192.168.100.5,TCP,1025,44905,54,service_version
1745266909.063810,192.168.100.4,192.168.100.5,TCP,1723,44905,54,service_version
