timestamp,src_ip,dst_ip,proto,src_port,dst_port,flags,packet_len,label
1745263648.118045,192.168.100.5,192.168.100.4,TCP,42078,80,S,74,slowloris
1745263648.118087,192.168.100.4,192.168.100.5,TCP,80,42078,RA,54,slowloris
1745263648.120566,192.168.100.5,192.168.100.4,TCP,42080,80,S,74,slowloris
1745263648.120586,192.168.100.4,192.168.100.5,TCP,80,42080,RA,54,slowloris
1745263663.166327,192.168.100.5,192.168.100.4,TCP,37346,80,S,74,slowloris
1745263663.166363,192.168.100.4,192.168.100.5,TCP,80,37346,RA,54,slowloris
1745263678.170530,192.168.100.5,192.168.100.4,TCP,58854,80,S,74,slowloris
1745263678.170568,192.168.100.4,192.168.100.5,TCP,80,58854,RA,54,slowloris
1745263693.173907,192.168.100.5,192.168.100.4,TCP,37596,80,S,74,slowloris
1745263693.173945,192.168.100.4,192.168.100.5,TCP,80,37596,RA,54,slowloris
1745263708.177498,192.168.100.5,192.168.100.4,TCP,46046,80,S,74,slowloris
1745263708.177538,192.168.100.4,192.168.100.5,TCP,80,46046,RA,54,slowloris
1745263723.181737,192.168.100.5,192.168.100.4,TCP,51570,80,S,74,slowloris
1745263723.181788,192.168.100.4,192.168.100.5,TCP,80,51570,RA,54,slowloris
1745263738.186366,192.168.100.5,192.168.100.4,TCP,51226,80,S,74,slowloris
1745263738.186413,192.168.100.4,192.168.100.5,TCP,80,51226,RA,54,slowloris
1745263753.191514,192.168.100.5,192.168.100.4,TCP,60138,80,S,74,slowloris
1745263753.191551,192.168.100.4,192.168.100.5,TCP,80,60138,RA,54,slowloris
1745263768.195749,192.168.100.5,192.168.100.4,TCP,47082,80,S,74,slowloris
1745263768.195786,192.168.100.4,192.168.100.5,TCP,80,47082,RA,54,slowloris
1745263783.200118,192.168.100.5,192.168.100.4,TCP,46620,80,S,74,slowloris
1745263783.200153,192.168.100.4,192.168.100.5,TCP,80,46620,RA,54,slowloris
1745263798.203757,192.168.100.5,192.168.100.4,TCP,47522,80,S,74,slowloris
1745263798.203836,192.168.100.4,192.168.100.5,TCP,80,47522,RA,54,slowloris
1745263813.222143,192.168.100.5,192.168.100.4,TCP,44762,80,S,74,slowloris
1745263813.222186,192.168.100.4,192.168.100.5,TCP,80,44762,RA,54,slowloris
1745263828.252176,192.168.100.5,192.168.100.4,TCP,52844,80,S,74,slowloris
1745263828.252212,192.168.100.4,192.168.100.5,TCP,80,52844,RA,54,slowloris
1745263843.256110,192.168.100.5,192.168.100.4,TCP,33484,80,S,74,slowloris
1745263843.256146,192.168.100.4,192.168.100.5,TCP,80,33484,RA,54,slowloris
1745263858.296278,192.168.100.5,192.168.100.4,TCP,38138,80,S,74,slowloris
1745263858.296327,192.168.100.4,192.168.100.5,TCP,80,38138,RA,54,slowloris
1745263873.321613,192.168.100.5,192.168.100.4,TCP,36664,80,S,74,slowloris
1745263873.321663,192.168.100.4,192.168.100.5,TCP,80,36664,RA,54,slowloris
1745263888.325341,192.168.100.5,192.168.100.4,TCP,60420,80,S,74,slowloris
1745263888.325394,192.168.100.4,192.168.100.5,TCP,80,60420,RA,54,slowloris
1745263903.732412,192.168.100.5,192.168.100.4,TCP,59902,80,S,74,slowloris
1745263903.732453,192.168.100.4,192.168.100.5,TCP,80,59902,RA,54,slowloris
1745263918.736152,192.168.100.5,192.168.100.4,TCP,33972,80,S,74,slowloris
1745263918.736200,192.168.100.4,192.168.100.5,TCP,80,33972,RA,54,slowloris
1745263933.748225,192.168.100.5,192.168.100.4,TCP,37332,80,S,74,slowloris
1745263933.748266,192.168.100.4,192.168.100.5,TCP,80,37332,RA,54,slowloris
1745263948.752125,192.168.100.5,192.168.100.4,TCP,53560,80,S,74,slowloris
1745263948.752346,192.168.100.4,192.168.100.5,TCP,80,53560,RA,54,slowloris
1745263963.755985,192.168.100.5,192.168.100.4,TCP,55750,80,S,74,slowloris
1745263963.756028,192.168.100.4,192.168.100.5,TCP,80,55750,RA,54,slowloris
1745263978.760303,192.168.100.5,192.168.100.4,TCP,41976,80,S,74,slowloris
1745263978.760357,192.168.100.4,192.168.100.5,TCP,80,41976,RA,54,slowloris
1745263993.763853,192.168.100.5,192.168.100.4,TCP,49574,80,S,74,slowloris
1745263993.763899,192.168.100.4,192.168.100.5,TCP,80,49574,RA,54,slowloris
1745264008.767776,192.168.100.5,192.168.100.4,TCP,47414,80,S,74,slowloris
1745264008.767811,192.168.100.4,192.168.100.5,TCP,80,47414,RA,54,slowloris
1745264023.771218,192.168.100.5,192.168.100.4,TCP,53560,80,S,74,slowloris
1745264023.771254,192.168.100.4,192.168.100.5,TCP,80,53560,RA,54,slowloris
1745264038.778772,192.168.100.5,192.168.100.4,TCP,51150,80,S,74,slowloris
1745264038.778813,192.168.100.4,192.168.100.5,TCP,80,51150,RA,54,slowloris
1745264053.783930,192.168.100.5,192.168.100.4,TCP,37944,80,S,74,slowloris
1745264053.783967,192.168.100.4,192.168.100.5,TCP,80,37944,RA,54,slowloris
1745264068.787933,192.168.100.5,192.168.100.4,TCP,33700,80,S,74,slowloris
1745264068.787968,192.168.100.4,192.168.100.5,TCP,80,33700,RA,54,slowloris
1745264083.839288,192.168.100.5,192.168.100.4,TCP,44818,80,S,74,slowloris
1745264083.839332,192.168.100.4,192.168.100.5,TCP,80,44818,RA,54,slowloris
1745264098.842722,192.168.100.5,192.168.100.4,TCP,59744,80,S,74,slowloris
1745264098.842767,192.168.100.4,192.168.100.5,TCP,80,59744,RA,54,slowloris
1745264113.846291,192.168.100.5,192.168.100.4,TCP,56208,80,S,74,slowloris
1745264113.846340,192.168.100.4,192.168.100.5,TCP,80,56208,RA,54,slowloris
1745264128.850605,192.168.100.5,192.168.100.4,TCP,34986,80,S,74,slowloris
1745264128.850643,192.168.100.4,192.168.100.5,TCP,80,34986,RA,54,slowloris
1745264143.854057,192.168.100.5,192.168.100.4,TCP,55908,80,S,74,slowloris
1745264143.854111,192.168.100.4,192.168.100.5,TCP,80,55908,RA,54,slowloris
1745264158.966347,192.168.100.5,192.168.100.4,TCP,41180,80,S,74,slowloris
1745264158.966394,192.168.100.4,192.168.100.5,TCP,80,41180,RA,54,slowloris
1745264173.971215,192.168.100.5,192.168.100.4,TCP,39840,80,S,74,slowloris
1745264173.971262,192.168.100.4,192.168.100.5,TCP,80,39840,RA,54,slowloris
1745264189.214871,192.168.100.5,192.168.100.4,TCP,50138,80,S,74,slowloris
1745264189.214917,192.168.100.4,192.168.100.5,TCP,80,50138,RA,54,slowloris
1745264204.218833,192.168.100.5,192.168.100.4,TCP,37686,80,S,74,slowloris
1745264204.218878,192.168.100.4,192.168.100.5,TCP,80,37686,RA,54,slowloris
1745264219.229263,192.168.100.5,192.168.100.4,TCP,44482,80,S,74,slowloris
1745264219.229296,192.168.100.4,192.168.100.5,TCP,80,44482,RA,54,slowloris
