timestamp,src_ip,dst_ip,proto,src_port,dst_port,flags,packet_len,label
1745350845.212879,192.168.100.5,192.168.100.4,TCP,46710,22,S,74,ssh_brute_force
1745350845.212941,192.168.100.4,192.168.100.5,TCP,22,46710,SA,74,ssh_brute_force
1745350845.213807,192.168.100.5,192.168.100.4,TCP,46710,22,A,66,ssh_brute_force
1745350845.213807,192.168.100.5,192.168.100.4,TCP,46710,22,PA,89,ssh_brute_force
1745350845.213855,192.168.100.4,192.168.100.5,TCP,22,46710,A,66,ssh_brute_force
1745350845.223347,192.168.100.4,192.168.100.5,TCP,22,46710,PA,98,ssh_brute_force
1745350845.224304,192.168.100.5,192.168.100.4,TCP,46710,22,A,66,ssh_brute_force
1745350845.225283,192.168.100.5,192.168.100.4,TCP,46710,22,PA,970,ssh_brute_force
1745350845.226610,192.168.100.4,192.168.100.5,TCP,22,46710,PA,1234,ssh_brute_force
1745350845.227512,192.168.100.5,192.168.100.4,TCP,46710,22,PA,114,ssh_brute_force
1745350845.231506,192.168.100.4,192.168.100.5,TCP,22,46710,PA,558,ssh_brute_force
1745350845.232444,192.168.100.5,192.168.100.4,TCP,46710,22,PA,82,ssh_brute_force
1745350845.278541,192.168.100.4,192.168.100.5,TCP,22,46710,A,66,ssh_brute_force
1745350845.279497,192.168.100.5,192.168.100.4,TCP,46710,22,PA,110,ssh_brute_force
1745350845.279605,192.168.100.4,192.168.100.5,TCP,22,46710,A,66,ssh_brute_force
1745350845.279784,192.168.100.4,192.168.100.5,TCP,22,46710,PA,110,ssh_brute_force
1745350845.280952,192.168.100.5,192.168.100.4,TCP,46710,22,PA,126,ssh_brute_force
1745350845.283215,192.168.100.4,192.168.100.5,TCP,22,46710,PA,118,ssh_brute_force
1745350845.284394,192.168.100.5,192.168.100.4,TCP,46710,22,PA,118,ssh_brute_force
1745350845.284394,192.168.100.5,192.168.100.4,TCP,46710,22,FA,66,ssh_brute_force
1745350845.288940,192.168.100.4,192.168.100.5,TCP,22,46710,FA,66,ssh_brute_force
1745350845.289554,192.168.100.5,192.168.100.4,TCP,46710,22,A,66,ssh_brute_force
1745350845.679343,192.168.100.5,192.168.100.4,TCP,46716,22,S,74,ssh_brute_force
1745350845.679344,192.168.100.5,192.168.100.4,TCP,46718,22,S,74,ssh_brute_force
1745350845.679344,192.168.100.5,192.168.100.4,TCP,46736,22,S,74,ssh_brute_force
1745350845.679344,192.168.100.5,192.168.100.4,TCP,46748,22,S,74,ssh_brute_force
1745350845.679400,192.168.100.4,192.168.100.5,TCP,22,46716,SA,74,ssh_brute_force
1745350845.679488,192.168.100.4,192.168.100.5,TCP,22,46718,SA,74,ssh_brute_force
1745350845.679567,192.168.100.4,192.168.100.5,TCP,22,46736,SA,74,ssh_brute_force
1745350845.679633,192.168.100.4,192.168.100.5,TCP,22,46748,SA,74,ssh_brute_force
1745350845.680308,192.168.100.5,192.168.100.4,TCP,46718,22,A,66,ssh_brute_force
1745350845.680308,192.168.100.5,192.168.100.4,TCP,46736,22,A,66,ssh_brute_force
1745350845.680308,192.168.100.5,192.168.100.4,TCP,46718,22,PA,89,ssh_brute_force
1745350845.680419,192.168.100.4,192.168.100.5,TCP,22,46718,A,66,ssh_brute_force
1745350845.680767,192.168.100.5,192.168.100.4,TCP,46736,22,PA,89,ssh_brute_force
1745350845.680767,192.168.100.5,192.168.100.4,TCP,46748,22,A,66,ssh_brute_force
1745350845.680767,192.168.100.5,192.168.100.4,TCP,46748,22,PA,89,ssh_brute_force
1745350845.680782,192.168.100.4,192.168.100.5,TCP,22,46736,A,66,ssh_brute_force
1745350845.680848,192.168.100.4,192.168.100.5,TCP,22,46748,A,66,ssh_brute_force
1745350845.681240,192.168.100.5,192.168.100.4,TCP,46716,22,A,66,ssh_brute_force
1745350845.681614,192.168.100.5,192.168.100.4,TCP,46716,22,PA,89,ssh_brute_force
1745350845.681627,192.168.100.4,192.168.100.5,TCP,22,46716,A,66,ssh_brute_force
1745350845.690600,192.168.100.4,192.168.100.5,TCP,22,46718,PA,98,ssh_brute_force
1745350845.691174,192.168.100.5,192.168.100.4,TCP,46718,22,A,66,ssh_brute_force
1745350845.691644,192.168.100.5,192.168.100.4,TCP,46718,22,PA,970,ssh_brute_force
1745350845.692510,192.168.100.4,192.168.100.5,TCP,22,46718,PA,1234,ssh_brute_force
1745350845.693571,192.168.100.5,192.168.100.4,TCP,46718,22,PA,114,ssh_brute_force
1745350845.693845,192.168.100.4,192.168.100.5,TCP,22,46736,PA,98,ssh_brute_force
1745350845.694414,192.168.100.5,192.168.100.4,TCP,46736,22,A,66,ssh_brute_force
1745350845.694776,192.168.100.5,192.168.100.4,TCP,46736,22,PA,970,ssh_brute_force
1745350845.696930,192.168.100.4,192.168.100.5,TCP,22,46736,PA,1234,ssh_brute_force
1745350845.697182,192.168.100.4,192.168.100.5,TCP,22,46718,PA,558,ssh_brute_force
1745350845.697897,192.168.100.5,192.168.100.4,TCP,46736,22,PA,114,ssh_brute_force
